id,categoria,segmento,edad,nivel_educativo,estado_civil,Genero,PAC,contrato,estrato,grupo_edad
104,B,Segmento_Medio,45,tecnico_tecnologico,soltero,M,1,3,4.0,36-45
105,B,Segmento_Medio,47,tecnico_tecnologico,casado,F,1,1,2.0,46-55
106,A,Segemnto_Basico,30,primaria,separado,M,3,3,1.0,26-35
107,A,Segmento_Medio,22,secundaria,separado,F,2,2,1.0,18-25
108,B,Segmento_Medio,42,tecnico_tecnologico,soltero,F,1,2,2.0,36-45
109,B,Segmento_Medio,61,tecnico_tecnologico,viudo,M,1,3,4.0,56-65
110,B,Segmento_Medio,23,tecnico_tecnologico,casado,F,1,4,2.0,18-25
111,B,Segmento_Medio,56,tecnico_tecnologico,separado,M,1,2,4.0,56-65
112,B,Segmento_Medio,26,tecnico_tecnologico,viudo,F,1,1,2.0,26-35
113,B,Segmento_Medio,40,tecnico_tecnologico,soltero,F,1,1,4.0,36-45
114,C,Segmento_Medio,47,primaria,viudo,F,3,4,1.0,46-55
115,C,Segmento_Medio,37,secundaria,soltero,M,2,2,4.0,36-45
116,A,Segemnto_Basico,36,primaria,soltero,M,3,2,1.0,36-45
117,B,Segmento_Medio,40,tecnico_tecnologico,viudo,M,1,4,2.0,36-45
118,A,Segemnto_Basico,56,primaria,soltero,M,3,1,2.0,56-65
119,B,Segmento_Medio,55,tecnico_tecnologico,soltero,M,1,4,4.0,46-55
120,B,Segmento_Medio,59,tecnico_tecnologico,soltero,F,1,4,4.0,56-65
121,C,Segmento_Medio,59,tecnico_tecnologico,separado,M,1,4,,56-65
122,B,Segmento_Medio,55,tecnico_tecnologico,casado,M,1,2,3.0,46-55
123,A,Segmento_Joven,22,primaria,soltero,F,3,1,1.0,18-25
124,C,Segmento_Medio,29,primaria,separado,F,3,2,1.0,26-35
125,B,Segmento_Medio,25,secundaria,viudo,M,2,2,4.0,18-25
126,C,Segmento_Medio,26,primaria,separado,F,3,3,,26-35
127,C,Segmento_Medio,31,primaria,separado,F,3,4,,26-35
128,B,Segmento_Medio,51,tecnico_tecnologico,casado,M,1,4,3.0,46-55
129,B,Segmento_Medio,62,secundaria,casado,F,2,3,4.0,56-65
130,B,Segmento_Medio,35,tecnico_tecnologico,separado,M,1,1,2.0,26-35
131,A,Segemnto_Basico,25,primaria,soltero,M,3,3,3.0,18-25
132,B,Segmento_Medio,36,tecnico_tecnologico,soltero,M,1,4,1.0,36-45
133,A,Segmento_Medio,22,primaria,viudo,M,3,1,1.0,18-25
134,C,Segmento_Medio,31,primaria,soltero,F,3,2,,26-35
135,B,Segmento_Medio,20,tecnico_tecnologico,casado,F,1,3,1.0,18-25
136,B,Segmento_Medio,39,tecnico_tecnologico,casado,F,1,4,1.0,36-45
137,B,Segmento_Medio,52,tecnico_tecnologico,soltero,M,1,1,3.0,46-55
138,C,Segmento_Medio,45,tecnico_tecnologico,separado,F,1,2,4.0,36-45
139,A,Segemnto_Basico,58,secundaria,soltero,F,2,4,1.0,56-65
140,C,Segmento_Medio,22,primaria,casado,F,3,1,1.0,18-25
141,C,Segmento_Joven,23,tecnico_tecnologico,soltero,M,1,3,4.0,18-25
142,A,Segemnto_Basico,26,primaria,soltero,M,3,3,1.0,26-35
143,B,Segmento_Medio,35,tecnico_tecnologico,soltero,M,1,2,1.0,26-35
144,B,Segmento_Medio,57,tecnico_tecnologico,viudo,F,1,2,2.0,56-65
145,C,Segmento_Medio,50,primaria,separado,F,3,4,,46-55
146,A,Segemnto_Basico,61,primaria,soltero,F,3,1,1.0,56-65
147,A,Segemnto_Basico,42,primaria,viudo,M,3,3,3.0,36-45
148,C,Segmento_Alto,50,tecnico_tecnologico,viudo,F,1,3,4.0,46-55
149,A,Segemnto_Basico,50,primaria,soltero,F,3,2,1.0,46-55
150,A,Segemnto_Basico,57,primaria,separado,M,3,2,1.0,56-65
151,B,Segmento_Medio,59,tecnico_tecnologico,casado,F,1,3,4.0,56-65
152,A,Segemnto_Basico,39,primaria,separado,F,3,3,1.0,36-45
153,B,Segmento_Medio,56,tecnico_tecnologico,soltero,F,1,4,2.0,56-65
154,C,Segmento_Medio,64,tecnico_tecnologico,viudo,F,1,3,4.0,56-65
155,C,Segmento_Medio,44,tecnico_tecnologico,viudo,M,1,3,5.0,36-45
156,A,Segmento_Medio,22,primaria,separado,M,3,4,1.0,18-25
157,A,Segemnto_Basico,59,primaria,soltero,M,3,3,1.0,56-65
158,A,Segemnto_Basico,51,primaria,viudo,M,3,3,3.0,46-55
159,A,Segemnto_Basico,25,primaria,soltero,M,3,3,1.0,18-25
160,A,Segemnto_Basico,40,primaria,casado,F,3,4,3.0,36-45
161,B,Segmento_Joven,21,tecnico_tecnologico,soltero,M,1,2,2.0,18-25
162,A,Segemnto_Basico,36,primaria,casado,F,3,1,1.0,36-45
163,B,Segmento_Joven,20,secundaria,soltero,M,2,4,1.0,18-25
164,C,Segmento_Medio,56,tecnico_tecnologico,casado,M,1,3,5.0,56-65
165,A,Segemnto_Basico,29,secundaria,casado,F,2,4,4.0,26-35
166,B,Segmento_Medio,59,tecnico_tecnologico,viudo,F,1,2,1.0,56-65
167,B,Segmento_Medio,40,tecnico_tecnologico,soltero,M,1,2,3.0,36-45
168,A,Segemnto_Basico,53,primaria,casado,M,3,1,3.0,46-55
169,B,Segmento_Medio,32,tecnico_tecnologico,viudo,F,1,1,2.0,26-35
170,A,Segemnto_Basico,26,primaria,soltero,M,3,3,1.0,26-35
171,B,Segmento_Medio,20,tecnico_tecnologico,casado,M,1,2,5.0,18-25
172,A,Segemnto_Basico,36,primaria,soltero,M,3,2,3.0,36-45
173,C,Segmento_Medio,55,primaria,viudo,F,3,2,,46-55
174,A,Segmento_Medio,19,primaria,viudo,M,3,4,2.0,18-25
175,B,Segmento_Medio,28,tecnico_tecnologico,soltero,M,1,1,4.0,26-35
176,A,Segemnto_Basico,47,primaria,soltero,M,3,4,1.0,46-55
177,C,Segmento_Medio,34,primaria,viudo,M,3,3,,26-35
178,B,Segmento_Medio,43,tecnico_tecnologico,separado,F,1,3,2.0,36-45
179,B,Segmento_Medio,42,tecnico_tecnologico,casado,M,1,1,4.0,36-45
180,C,Segmento_Medio,38,tecnico_tecnologico,soltero,M,1,2,2.0,36-45
181,A,Segemnto_Basico,42,primaria,separado,M,3,1,1.0,36-45
182,A,Segemnto_Basico,49,primaria,separado,M,3,1,1.0,46-55
183,A,Segemnto_Basico,40,secundaria,soltero,M,2,3,5.0,36-45
184,C,Segmento_Medio,27,tecnico_tecnologico,viudo,M,1,2,4.0,26-35
185,C,Segmento_Medio,46,tecnico_tecnologico,soltero,F,1,4,5.0,46-55
186,C,Segmento_Medio,48,tecnico_tecnologico,soltero,M,1,1,3.0,46-55
187,B,Segmento_Medio,18,tecnico_tecnologico,separado,M,1,4,2.0,18-25
188,B,Segmento_Medio,29,tecnico_tecnologico,soltero,M,1,3,4.0,26-35
189,B,Segmento_Medio,31,tecnico_tecnologico,viudo,F,1,3,2.0,26-35
190,B,Segmento_Medio,61,tecnico_tecnologico,separado,M,1,2,5.0,56-65
191,B,Segmento_Medio,40,tecnico_tecnologico,viudo,M,1,4,2.0,36-45
192,B,Segmento_Medio,23,tecnico_tecnologico,separado,M,1,1,4.0,18-25
193,B,Segmento_Medio,39,tecnico_tecnologico,separado,M,1,4,3.0,36-45
194,C,Segmento_Medio,27,tecnico_tecnologico,separado,F,1,3,5.0,26-35
195,C,Segmento_Medio,25,secundaria,soltero,F,2,1,,18-25
196,C,Segmento_Medio,27,tecnico_tecnologico,soltero,M,1,1,5.0,26-35
197,C,Segmento_Medio,57,tecnico_tecnologico,separado,M,1,3,5.0,56-65
198,A,Segemnto_Basico,50,primaria,separado,F,3,3,2.0,46-55
199,C,Segmento_Medio,37,tecnico_tecnologico,soltero,M,1,2,4.0,36-45
200,B,Segmento_Medio,54,tecnico_tecnologico,soltero,M,1,2,1.0,46-55
201,B,Segmento_Medio,22,tecnico_tecnologico,casado,F,1,1,1.0,18-25
202,B,Segmento_Medio,44,tecnico_tecnologico,soltero,F,1,2,4.0,36-45
203,C,Segmento_Medio,47,tecnico_tecnologico,casado,F,1,3,,46-55
204,C,Segmento_Medio,64,primaria,soltero,F,3,4,,56-65
205,B,Segmento_Medio,48,tecnico_tecnologico,casado,M,1,4,2.0,46-55
206,B,Segmento_Medio,51,tecnico_tecnologico,soltero,M,1,1,5.0,46-55
207,C,Segmento_Medio,26,tecnico_tecnologico,soltero,M,1,1,4.0,26-35
208,B,Segmento_Medio,19,tecnico_tecnologico,casado,F,1,1,1.0,18-25
209,C,Segmento_Joven,18,tecnico_tecnologico,soltero,M,1,3,2.0,18-25
210,B,Segmento_Medio,35,secundaria,soltero,F,2,2,5.0,26-35
211,C,Segmento_Medio,40,tecnico_tecnologico,separado,F,1,2,,36-45
212,B,Segmento_Medio,28,tecnico_tecnologico,soltero,F,1,3,4.0,26-35
213,B,Segmento_Medio,31,tecnico_tecnologico,soltero,M,1,3,5.0,26-35
214,B,Segmento_Medio,53,tecnico_tecnologico,separado,F,1,1,4.0,46-55
215,B,Segmento_Medio,51,tecnico_tecnologico,casado,M,1,4,2.0,46-55
216,A,Segmento_Medio,20,primaria,casado,F,3,1,3.0,18-25
217,B,Segmento_Medio,64,tecnico_tecnologico,soltero,M,1,4,5.0,56-65
218,B,Segmento_Medio,39,tecnico_tecnologico,soltero,M,1,4,3.0,36-45
219,A,Segemnto_Basico,37,primaria,soltero,M,3,2,3.0,36-45
220,B,Segmento_Medio,50,tecnico_tecnologico,soltero,M,1,3,4.0,46-55
221,C,Segmento_Medio,22,primaria,separado,M,3,1,,18-25
222,C,Segmento_Medio,51,primaria,casado,M,3,3,1.0,46-55
223,A,Segemnto_Basico,56,primaria,casado,M,3,3,2.0,56-65
224,A,Segemnto_Basico,38,primaria,soltero,M,3,2,3.0,36-45
225,C,Segmento_Alto,50,tecnico_tecnologico,soltero,M,1,1,4.0,46-55
226,A,Segemnto_Basico,59,primaria,soltero,F,3,2,3.0,56-65
227,B,Segmento_Medio,58,tecnico_tecnologico,soltero,M,1,3,5.0,56-65
228,B,Segmento_Medio,36,tecnico_tecnologico,soltero,F,1,4,4.0,36-45
229,B,Segmento_Medio,36,tecnico_tecnologico,soltero,M,1,2,5.0,36-45
230,B,Segmento_Medio,43,tecnico_tecnologico,casado,M,1,2,2.0,36-45
231,A,Segemnto_Basico,41,secundaria,soltero,M,2,4,4.0,36-45
232,A,Segemnto_Basico,64,primaria,separado,F,3,3,1.0,56-65
233,A,Segemnto_Basico,39,secundaria,casado,F,2,3,3.0,36-45
234,B,Segmento_Medio,40,secundaria,casado,M,2,3,4.0,36-45
235,B,Segmento_Medio,24,tecnico_tecnologico,casado,M,1,1,3.0,18-25
236,B,Segmento_Medio,32,tecnico_tecnologico,viudo,M,1,4,3.0,26-35
237,B,Segmento_Medio,27,tecnico_tecnologico,casado,F,1,3,4.0,26-35
238,A,Segemnto_Basico,48,primaria,soltero,M,3,1,1.0,46-55
239,C,Segmento_Medio,39,tecnico_tecnologico,separado,F,1,3,2.0,36-45
240,A,Segemnto_Basico,33,primaria,soltero,M,3,2,1.0,26-35
241,C,Segmento_Medio,56,tecnico_tecnologico,casado,F,1,2,4.0,56-65
242,C,Segmento_Medio,32,tecnico_tecnologico,soltero,M,1,1,3.0,26-35
243,C,Segmento_Medio,63,secundaria,soltero,F,2,3,4.0,56-65
244,A,Segemnto_Basico,39,primaria,soltero,F,3,2,1.0,36-45
245,C,Segmento_Medio,27,tecnico_tecnologico,casado,M,1,3,,26-35
246,A,Segmento_Medio,18,secundaria,viudo,F,2,3,2.0,18-25
247,C,Segmento_Medio,54,secundaria,separado,F,2,4,,46-55
248,B,Segmento_Medio,27,secundaria,casado,F,2,3,1.0,26-35
249,B,Segmento_Medio,55,tecnico_tecnologico,soltero,F,1,4,2.0,46-55
250,B,Segmento_Medio,28,tecnico_tecnologico,viudo,F,1,3,3.0,26-35
251,B,Segmento_Joven,21,tecnico_tecnologico,soltero,F,1,2,4.0,18-25
252,B,Segmento_Medio,54,tecnico_tecnologico,soltero,F,1,4,5.0,46-55
253,B,Segmento_Medio,54,tecnico_tecnologico,soltero,M,1,3,1.0,46-55
254,B,Segmento_Medio,47,tecnico_tecnologico,casado,M,1,1,5.0,46-55
255,B,Segmento_Medio,42,tecnico_tecnologico,soltero,F,1,1,5.0,36-45
256,A,Segmento_Joven,18,primaria,soltero,M,3,3,3.0,18-25
257,B,Segmento_Medio,26,secundaria,soltero,M,2,4,4.0,26-35
258,A,Segemnto_Basico,55,primaria,soltero,M,3,2,1.0,46-55
259,C,Segmento_Medio,33,tecnico_tecnologico,soltero,F,1,4,,26-35
260,B,Segmento_Medio,28,tecnico_tecnologico,soltero,F,1,3,1.0,26-35
261,C,Segmento_Medio,42,primaria,soltero,M,3,2,1.0,36-45
262,A,Segemnto_Basico,34,primaria,soltero,M,3,2,1.0,26-35
263,A,Segemnto_Basico,61,primaria,viudo,F,3,2,1.0,56-65
264,A,Segmento_Medio,21,primaria,viudo,M,3,3,1.0,18-25
265,A,Segemnto_Basico,45,primaria,viudo,M,3,1,1.0,36-45
266,C,Segmento_Medio,43,secundaria,separado,M,2,1,4.0,36-45
267,C,Segmento_Medio,42,tecnico_tecnologico,soltero,F,1,4,3.0,36-45
268,A,Segemnto_Basico,26,primaria,soltero,F,3,4,3.0,26-35
269,A,Segmento_Medio,18,primaria,casado,F,3,4,1.0,18-25
270,A,Segemnto_Basico,47,primaria,soltero,F,3,3,1.0,46-55
271,B,Segmento_Medio,40,secundaria,casado,F,2,3,4.0,36-45
272,B,Segmento_Medio,34,tecnico_tecnologico,soltero,F,1,2,4.0,26-35
273,B,Segmento_Medio,62,tecnico_tecnologico,soltero,F,1,2,3.0,56-65
274,B,Segmento_Medio,39,tecnico_tecnologico,soltero,F,1,3,3.0,36-45
275,B,Segmento_Medio,41,tecnico_tecnologico,separado,M,1,1,1.0,36-45
276,A,Segemnto_Basico,61,primaria,soltero,F,3,1,3.0,56-65
277,A,Segemnto_Basico,57,primaria,casado,M,3,1,3.0,56-65
278,C,Segmento_Medio,53,primaria,soltero,M,3,4,,46-55
279,B,Segmento_Medio,37,tecnico_tecnologico,casado,M,1,3,1.0,36-45
280,C,Segmento_Medio,26,primaria,casado,F,3,2,,26-35
281,C,Segmento_Medio,41,tecnico_tecnologico,soltero,M,1,1,5.0,36-45
282,B,Segmento_Medio,44,tecnico_tecnologico,soltero,F,1,4,5.0,36-45
283,A,Segemnto_Basico,52,primaria,soltero,F,3,4,1.0,46-55
284,A,Segemnto_Basico,57,primaria,soltero,F,3,1,1.0,56-65
285,A,Segemnto_Basico,55,primaria,soltero,M,3,1,2.0,46-55
286,A,Segemnto_Basico,36,primaria,viudo,M,3,2,1.0,36-45
287,A,Segemnto_Basico,55,primaria,soltero,F,3,2,2.0,46-55
288,B,Segmento_Medio,50,secundaria,separado,F,2,2,3.0,46-55
289,B,Segmento_Medio,31,tecnico_tecnologico,soltero,F,1,2,4.0,26-35
290,C,Segmento_Medio,20,primaria,separado,M,3,3,,18-25
291,A,Segemnto_Basico,30,primaria,separado,F,3,1,1.0,26-35
292,A,Segemnto_Basico,53,secundaria,soltero,F,2,4,1.0,46-55
293,C,Segmento_Medio,52,tecnico_tecnologico,soltero,F,1,1,5.0,46-55
294,A,Segemnto_Basico,37,primaria,soltero,M,3,1,3.0,36-45
295,C,Segmento_Medio,46,tecnico_tecnologico,separado,F,1,4,5.0,46-55
296,B,Segmento_Medio,34,tecnico_tecnologico,casado,M,1,3,3.0,26-35
297,B,Segmento_Medio,42,tecnico_tecnologico,separado,M,1,1,1.0,36-45
298,B,Segmento_Medio,37,tecnico_tecnologico,soltero,M,1,1,4.0,36-45
299,B,Segmento_Medio,42,tecnico_tecnologico,soltero,F,1,3,4.0,36-45
300,B,Segmento_Medio,56,tecnico_tecnologico,soltero,M,1,1,3.0,56-65
301,A,Segemnto_Basico,42,primaria,soltero,F,3,2,1.0,36-45
302,C,Segmento_Medio,22,primaria,viudo,M,3,4,,18-25
303,B,Segmento_Medio,58,tecnico_tecnologico,viudo,M,1,1,3.0,56-65
304,A,Segmento_Joven,19,primaria,soltero,M,3,1,1.0,18-25
305,C,Segmento_Medio,32,tecnico_tecnologico,separado,F,1,3,3.0,26-35
306,C,Segmento_Medio,22,tecnico_tecnologico,separado,M,1,3,,18-25
307,C,Segmento_Medio,36,tecnico_tecnologico,separado,M,1,4,2.0,36-45
308,B,Segmento_Medio,36,tecnico_tecnologico,soltero,M,1,2,1.0,36-45
309,B,Segmento_Medio,39,tecnico_tecnologico,viudo,F,1,1,4.0,36-45
310,B,Segmento_Medio,46,tecnico_tecnologico,separado,F,1,2,1.0,46-55
311,C,Segmento_Medio,35,tecnico_tecnologico,soltero,M,1,1,,26-35
312,C,Segmento_Medio,49,primaria,separado,M,3,3,,46-55
313,A,Segemnto_Basico,26,primaria,soltero,F,3,2,1.0,26-35
314,C,Segmento_Joven,20,primaria,soltero,M,3,2,,18-25
315,A,Segemnto_Basico,56,primaria,soltero,F,3,1,1.0,56-65
316,C,Segmento_Medio,37,primaria,separado,M,3,2,1.0,36-45
317,A,Segmento_Joven,21,primaria,soltero,F,3,3,1.0,18-25
318,C,Segmento_Medio,63,primaria,separado,M,3,3,,56-65
319,A,Segemnto_Basico,38,primaria,separado,F,3,2,3.0,36-45
320,B,Segmento_Medio,47,tecnico_tecnologico,separado,F,1,3,2.0,46-55
321,B,Segmento_Medio,33,tecnico_tecnologico,casado,F,1,1,3.0,26-35
322,C,Segmento_Medio,62,secundaria,soltero,M,2,4,5.0,56-65
323,B,Segmento_Medio,50,tecnico_tecnologico,viudo,F,1,1,5.0,46-55
324,A,Segemnto_Basico,52,primaria,soltero,F,3,3,1.0,46-55
325,B,Segmento_Medio,26,tecnico_tecnologico,soltero,M,1,4,4.0,26-35
326,A,Segemnto_Basico,25,secundaria,soltero,F,2,1,3.0,18-25
327,C,Segmento_Medio,65,tecnico_tecnologico,casado,F,1,3,4.0,56-65
328,C,Segmento_Medio,56,tecnico_tecnologico,soltero,F,1,2,4.0,56-65
329,C,Segmento_Medio,58,tecnico_tecnologico,soltero,F,1,1,1.0,56-65
330,A,Segemnto_Basico,62,primaria,viudo,F,3,2,1.0,56-65
331,C,Segmento_Medio,50,tecnico_tecnologico,soltero,M,1,4,,46-55
332,C,Segmento_Medio,48,tecnico_tecnologico,viudo,M,1,2,,46-55
333,C,Segmento_Medio,63,tecnico_tecnologico,separado,M,1,2,4.0,56-65
334,B,Segmento_Medio,56,tecnico_tecnologico,soltero,F,1,1,4.0,56-65
335,A,Segemnto_Basico,30,primaria,soltero,F,3,2,1.0,26-35
336,B,Segmento_Medio,54,tecnico_tecnologico,soltero,M,1,1,2.0,46-55
337,B,Segmento_Medio,40,tecnico_tecnologico,casado,M,1,2,3.0,36-45
338,B,Segmento_Medio,33,tecnico_tecnologico,soltero,F,1,2,5.0,26-35
339,C,Segmento_Medio,48,tecnico_tecnologico,viudo,M,1,4,5.0,46-55
340,C,Segmento_Medio,29,primaria,soltero,M,3,3,1.0,26-35
341,C,Segmento_Medio,37,tecnico_tecnologico,casado,F,1,3,3.0,36-45
342,C,Segmento_Medio,42,tecnico_tecnologico,soltero,M,1,4,2.0,36-45
343,B,Segmento_Medio,46,tecnico_tecnologico,soltero,M,1,3,2.0,46-55
